variavel;descricao;uso
acidente_fatal;"1 se mortos >= 1; 0 se mortos = 0";Alvo
total_vitimas;mortos + feridos_leves + feridos_graves;Análise e Dashboard
indice_gravidade;mortos*3 + feridos_graves*2 + feridos_leves;Análise e Dashboard
br_formatada;BR padronizada no formato BR-000;Análise e Modelagem
chave_localidade;UF + município + BR formatada;Análise e Dashboard
